config,params,variant,component,component_label,component_order,cycles_avg,variant_cycles_avg,percent_of_variant
8x8,113,legacy_c,zero,zero grad,0,4793,5037178,0.09515248418856749
8x8,113,legacy_c,input_copy,input copy,1,0,5037178,0.0
8x8,113,legacy_c,forward,forward,2,0,5037178,0.0
8x8,113,legacy_c,loss,loss/grad,3,0,5037178,0.0
8x8,113,legacy_c,backward,backward,4,0,5037178,0.0
8x8,113,legacy_c,sample_train_step,C train step,5,4865634,5037178,96.59444236435559
8x8,113,legacy_c,adam_update,Adam update,6,103149,5037178,2.0477537224215623
8x8,113,legacy_c,gap,other/gap,7,63602,5037178,1.2626514290342727
8x8,113,cpp_direct_c_backend,zero,zero grad,0,26181,4862078,0.5384734675173866
8x8,113,cpp_direct_c_backend,input_copy,input copy,1,0,4862078,0.0
8x8,113,cpp_direct_c_backend,forward,forward,2,2182953,4862078,44.89753146699827
8x8,113,cpp_direct_c_backend,loss,loss/grad,3,44217,4862078,0.90942596971912
8x8,113,cpp_direct_c_backend,backward,backward,4,2450470,4862078,50.39964393825027
8x8,113,cpp_direct_c_backend,sample_train_step,C train step,5,0,4862078,0.0
8x8,113,cpp_direct_c_backend,adam_update,Adam update,6,65742,4862078,1.3521379130487006
8x8,113,cpp_direct_c_backend,gap,other/gap,7,92515,4862078,1.902787244466255
8x8,113,cpp_m55,zero,zero grad,0,29711,2408635,1.23352023033793
8x8,113,cpp_m55,input_copy,input copy,1,0,2408635,0.0
8x8,113,cpp_m55,forward,forward,2,1256305,2408635,52.15838016137771
8x8,113,cpp_m55,loss,loss/grad,3,10377,2408635,0.4308249278118104
8x8,113,cpp_m55,backward,backward,4,972452,2408635,40.37357258364177
8x8,113,cpp_m55,sample_train_step,C train step,5,0,2408635,0.0
8x8,113,cpp_m55,adam_update,Adam update,6,66947,2408635,2.779458074801703
8x8,113,cpp_m55,gap,other/gap,7,72843,2408635,3.0242440220290745
8x8,113,cpp_generic,zero,zero grad,0,29235,2341744,1.2484285216488225
8x8,113,cpp_generic,input_copy,input copy,1,0,2341744,0.0
8x8,113,cpp_generic,forward,forward,2,846604,2341744,36.15271353316161
8x8,113,cpp_generic,loss,loss/grad,3,36549,2341744,1.5607598439453672
8x8,113,cpp_generic,backward,backward,4,1292842,2341744,55.208511263400275
8x8,113,cpp_generic,sample_train_step,C train step,5,0,2341744,0.0
8x8,113,cpp_generic,adam_update,Adam update,6,81501,2341744,3.4803548124816377
8x8,113,cpp_generic,gap,other/gap,7,55013,2341744,2.349232025362294
8x8,113,rltools_generic,zero,zero grad,0,5988,3227589,0.18552548047474446
8x8,113,rltools_generic,input_copy,input copy,1,34118,3227589,1.0570738715493206
8x8,113,rltools_generic,forward,forward,2,1161796,3227589,35.995785089117604
8x8,113,rltools_generic,loss,loss/grad,3,4174,3227589,0.12932253765891505
8x8,113,rltools_generic,backward,backward,4,1836343,3227589,56.89519328514257
8x8,113,rltools_generic,sample_train_step,C train step,5,0,3227589,0.0
8x8,113,rltools_generic,adam_update,Adam update,6,82290,3227589,2.5495811269650503
8x8,113,rltools_generic,gap,other/gap,7,102880,3227589,3.187518609091802
16x8,209,legacy_c,zero,zero grad,0,5792,6477538,0.08941668887160523
16x8,209,legacy_c,input_copy,input copy,1,0,6477538,0.0
16x8,209,legacy_c,forward,forward,2,0,6477538,0.0
16x8,209,legacy_c,loss,loss/grad,3,0,6477538,0.0
16x8,209,legacy_c,backward,backward,4,0,6477538,0.0
16x8,209,legacy_c,sample_train_step,C train step,5,6276603,6477538,96.89797265566023
16x8,209,legacy_c,adam_update,Adam update,6,146709,6477538,2.2648882955221565
16x8,209,legacy_c,gap,other/gap,7,48434,6477538,0.7477223599460165
16x8,209,cpp_direct_c_backend,zero,zero grad,0,47034,6381068,0.7370866444300547
16x8,209,cpp_direct_c_backend,input_copy,input copy,1,0,6381068,0.0
16x8,209,cpp_direct_c_backend,forward,forward,2,2894339,6381068,45.35822216594463
16x8,209,cpp_direct_c_backend,loss,loss/grad,3,39702,6381068,0.622184248780925
16x8,209,cpp_direct_c_backend,backward,backward,4,3219067,6381068,50.44715085311737
16x8,209,cpp_direct_c_backend,sample_train_step,C train step,5,0,6381068,0.0
16x8,209,cpp_direct_c_backend,adam_update,Adam update,6,111318,6381068,1.7445042115207046
16x8,209,cpp_direct_c_backend,gap,other/gap,7,69608,6381068,1.0908518762063029
16x8,209,cpp_m55,zero,zero grad,0,50177,4203957,1.1935659665405713
16x8,209,cpp_m55,input_copy,input copy,1,0,4203957,0.0
16x8,209,cpp_m55,forward,forward,2,2072940,4203957,49.3092579205734
16x8,209,cpp_m55,loss,loss/grad,3,24207,4203957,0.57581464320401
16x8,209,cpp_m55,backward,backward,4,1873252,4203957,44.559256909621105
16x8,209,cpp_m55,sample_train_step,C train step,5,0,4203957,0.0
16x8,209,cpp_m55,adam_update,Adam update,6,113259,4203957,2.694104625713346
16x8,209,cpp_m55,gap,other/gap,7,70122,4203957,1.6679999343475682
16x8,209,cpp_generic,zero,zero grad,0,48165,4278236,1.1258144711979423
16x8,209,cpp_generic,input_copy,input copy,1,0,4278236,0.0
16x8,209,cpp_generic,forward,forward,2,1717984,4278236,40.156363510568376
16x8,209,cpp_generic,loss,loss/grad,3,29956,4278236,0.7001951271505359
16x8,209,cpp_generic,backward,backward,4,2306394,4278236,53.90992923251545
16x8,209,cpp_generic,sample_train_step,C train step,5,0,4278236,0.0
16x8,209,cpp_generic,adam_update,Adam update,6,107075,4278236,2.5027838576460018
16x8,209,cpp_generic,gap,other/gap,7,68662,4278236,1.6049138009216881
16x8,209,rltools_generic,zero,zero grad,0,9079,5672970,0.16003962650957082
16x8,209,rltools_generic,input_copy,input copy,1,38605,5672970,0.6805077410950525
16x8,209,rltools_generic,forward,forward,2,1609745,5672970,28.375700911515484
16x8,209,rltools_generic,loss,loss/grad,3,2048,5672970,0.0361010193954842
16x8,209,rltools_generic,backward,backward,4,3787670,5672970,66.7669668621551
16x8,209,rltools_generic,sample_train_step,C train step,5,0,5672970,0.0
16x8,209,rltools_generic,adam_update,Adam update,6,128258,5672970,2.260861594543951
16x8,209,rltools_generic,gap,other/gap,7,97565,5672970,1.7198222447853593
16x16,353,legacy_c,zero,zero grad,0,7794,8272577,0.0942148982112829
16x16,353,legacy_c,input_copy,input copy,1,0,8272577,0.0
16x16,353,legacy_c,forward,forward,2,0,8272577,0.0
16x16,353,legacy_c,loss,loss/grad,3,0,8272577,0.0
16x16,353,legacy_c,backward,backward,4,0,8272577,0.0
16x16,353,legacy_c,sample_train_step,C train step,5,7992011,8272577,96.60848125076382
16x16,353,legacy_c,adam_update,Adam update,6,199370,8272577,2.41001081041615
16x16,353,legacy_c,gap,other/gap,7,73402,8272577,0.8872930406087486
16x16,353,cpp_direct_c_backend,zero,zero grad,0,82592,8228329,1.0037517945624197
16x16,353,cpp_direct_c_backend,input_copy,input copy,1,0,8228329,0.0
16x16,353,cpp_direct_c_backend,forward,forward,2,3720984,8228329,45.221623977359194
16x16,353,cpp_direct_c_backend,loss,loss/grad,3,43021,8228329,0.5228400565898618
16x16,353,cpp_direct_c_backend,backward,backward,4,4116883,8228329,50.033038299756846
16x16,353,cpp_direct_c_backend,sample_train_step,C train step,5,0,8228329,0.0
16x16,353,cpp_direct_c_backend,adam_update,Adam update,6,167040,8228329,2.0300598092273656
16x16,353,cpp_direct_c_backend,gap,other/gap,7,97809,8228329,1.1886860625043068
16x16,353,cpp_m55,zero,zero grad,0,88566,5929238,1.4937163932363653
16x16,353,cpp_m55,input_copy,input copy,1,0,5929238,0.0
16x16,353,cpp_m55,forward,forward,2,2817090,5929238,47.51183878940262
16x16,353,cpp_m55,loss,loss/grad,3,29614,5929238,0.4994570971851695
16x16,353,cpp_m55,backward,backward,4,2756564,5929238,46.49103308047341
16x16,353,cpp_m55,sample_train_step,C train step,5,0,5929238,0.0
16x16,353,cpp_m55,adam_update,Adam update,6,166783,5929238,2.8128909650784806
16x16,353,cpp_m55,gap,other/gap,7,70621,5929238,1.1910636746239567
16x16,353,cpp_generic,zero,zero grad,0,89121,6894023,1.2927284982948273
16x16,353,cpp_generic,input_copy,input copy,1,0,6894023,0.0
16x16,353,cpp_generic,forward,forward,2,2743729,6894023,39.798663276870414
16x16,353,cpp_generic,loss,loss/grad,3,40513,6894023,0.5876539721436961
16x16,353,cpp_generic,backward,backward,4,3789485,6894023,54.967687227037096
16x16,353,cpp_generic,sample_train_step,C train step,5,0,6894023,0.0
16x16,353,cpp_generic,adam_update,Adam update,6,182957,6894023,2.6538495737539605
16x16,353,cpp_generic,gap,other/gap,7,48218,6894023,0.6994174519000009
16x16,353,rltools_generic,zero,zero grad,0,14420,10592361,0.13613584355744673
16x16,353,rltools_generic,input_copy,input copy,1,42850,10592361,0.40453681667382746
16x16,353,rltools_generic,forward,forward,2,2330906,10592361,22.00553776443231
16x16,353,rltools_generic,loss,loss/grad,3,2048,10592361,0.019334688460863447
16x16,353,rltools_generic,backward,backward,4,7907467,10592361,74.65254441384693
16x16,353,rltools_generic,sample_train_step,C train step,5,0,10592361,0.0
16x16,353,rltools_generic,adam_update,Adam update,6,191792,10592361,1.8106633639091416
16x16,353,rltools_generic,gap,other/gap,7,102878,10592361,0.9712471091194872
32x16,673,legacy_c,zero,zero grad,0,13056,12446982,0.10489289692874948
32x16,673,legacy_c,input_copy,input copy,1,0,12446982,0.0
32x16,673,legacy_c,forward,forward,2,0,12446982,0.0
32x16,673,legacy_c,loss,loss/grad,3,0,12446982,0.0
32x16,673,legacy_c,backward,backward,4,0,12446982,0.0
32x16,673,legacy_c,sample_train_step,C train step,5,11787793,12446982,94.70402544166932
32x16,673,legacy_c,adam_update,Adam update,6,335273,12446982,2.6936087800239448
32x16,673,legacy_c,gap,other/gap,7,310860,12446982,2.497472881377992
32x16,673,cpp_direct_c_backend,zero,zero grad,0,150917,11958486,1.2620075818962366
