config,input_features,variant,model_size_kind,seeds,warmups,cycles_avg,cycles_min,cycles_max,cycles_over_legacy,runtime_source,runtime_status,runtime_done_status,model_state_bytes,arena_or_required_memory,object_or_control_bytes,elf_text,elf_data,elf_bss,elf_dec,elf_file_bytes,elf_text_over_legacy,elf_dec_over_legacy,elf_file_over_legacy,build_dir,serial_path,size_path,elf_path
8x8,3,legacy_c,arena+control,10,2,5016850,4669961,5217798,1.0,combined_all_log,0,0,3296,3232,64,49388,92,31404,80884,80080,1.0,1.0,1.0,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_8x8_1/legacy_c,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_8x8_1/legacy_c/serial.log,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_8x8_1/legacy_c/EL_C_vsCpp_Appli_3_8x8_1_legacy_c.size.txt,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_8x8_1/legacy_c/EL_C_vsCpp_Appli_3_8x8_1_legacy_c.elf
8x8,3,cpp_direct_c_backend,required_memory/model_object,10,2,4750684,4395178,4977572,0.9469455933504092,combined_all_log,0,0,2080,2048,2080,47804,92,30212,78108,77748,0.9679274317648011,0.9656792443499332,0.9708791208791209,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_8x8_1/cpp_direct_c_backend,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_8x8_1/cpp_direct_c_backend/serial.log,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_8x8_1/cpp_direct_c_backend/EL_C_vsCpp_Appli_3_8x8_1_cpp_direct_c_backend.size.txt,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_8x8_1/cpp_direct_c_backend/EL_C_vsCpp_Appli_3_8x8_1_cpp_direct_c_backend.elf
8x8,3,cpp_m55,required_memory/model_object,10,2,2287993,2048462,2419019,0.4560616721648046,combined_all_log,0,0,2080,2048,2080,42204,112,30176,72492,72088,0.8545395642666235,0.8962464764353889,0.9001998001998002,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_8x8_1/cpp_m55,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_8x8_1/cpp_m55/serial.log,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_8x8_1/cpp_m55/EL_C_vsCpp_Appli_3_8x8_1_cpp_m55.size.txt,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_8x8_1/cpp_m55/EL_C_vsCpp_Appli_3_8x8_1_cpp_m55.elf
8x8,3,cpp_generic,required_memory/model_object,10,2,2213466,1931466,2468786,0.44120633465222203,combined_all_log,0,0,1976,1952,1976,44828,112,30072,75012,74332,0.9076698793229124,0.9274022056278126,0.9282217782217782,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_8x8_1/cpp_generic,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_8x8_1/cpp_generic/serial.log,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_8x8_1/cpp_generic/EL_C_vsCpp_Appli_3_8x8_1_cpp_generic.size.txt,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_8x8_1/cpp_generic/EL_C_vsCpp_Appli_3_8x8_1_cpp_generic.elf
8x8,3,rltools_generic,static_state/model_object,10,2,3093011,3069003,3118872,0.6165245123932348,combined_all_log,0,0,1948,2092,1948,46588,92,30188,76868,78720,0.9433060662509112,0.9503486474457248,0.983016983016983,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_8x8_1/rltools_generic,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_8x8_1/rltools_generic/serial.log,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_8x8_1/rltools_generic/EL_C_vsCpp_Appli_3_8x8_1_rltools_generic.size.txt,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_8x8_1/rltools_generic/EL_C_vsCpp_Appli_3_8x8_1_rltools_generic.elf
16x8,3,legacy_c,arena+control,10,2,6471087,6139458,6899449,1.0,combined_all_log,0,0,4928,4864,64,49396,92,33804,83292,80080,1.0,1.0,1.0,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x8_1/legacy_c,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x8_1/legacy_c/serial.log,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x8_1/legacy_c/EL_C_vsCpp_Appli_3_16x8_1_legacy_c.size.txt,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x8_1/legacy_c/EL_C_vsCpp_Appli_3_16x8_1_legacy_c.elf
16x8,3,cpp_direct_c_backend,required_memory/model_object,10,2,6312141,5991142,6727762,0.9754375115030905,combined_all_log,0,0,3680,3648,3680,47860,92,32580,80532,77908,0.9689043647258887,0.9668635643279067,0.9728771228771229,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x8_1/cpp_direct_c_backend,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x8_1/cpp_direct_c_backend/serial.log,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x8_1/cpp_direct_c_backend/EL_C_vsCpp_Appli_3_16x8_1_cpp_direct_c_backend.size.txt,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x8_1/cpp_direct_c_backend/EL_C_vsCpp_Appli_3_16x8_1_cpp_direct_c_backend.elf
16x8,3,cpp_m55,required_memory/model_object,10,2,4082979,3783082,4489097,0.630957210125594,combined_all_log,0,0,3680,3648,3680,42004,112,32544,74660,72076,0.8503522552433396,0.8963645968400327,0.90004995004995,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x8_1/cpp_m55,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x8_1/cpp_m55/serial.log,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x8_1/cpp_m55/EL_C_vsCpp_Appli_3_16x8_1_cpp_m55.size.txt,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x8_1/cpp_m55/EL_C_vsCpp_Appli_3_16x8_1_cpp_m55.elf
16x8,3,cpp_generic,required_memory/model_object,10,2,4169624,3658829,4802209,0.6443467689431467,combined_all_log,0,0,3576,3552,3576,43596,112,32440,76148,73228,0.8825815855534861,0.9142294578110743,0.9144355644355644,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x8_1/cpp_generic,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x8_1/cpp_generic/serial.log,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x8_1/cpp_generic/EL_C_vsCpp_Appli_3_16x8_1_cpp_generic.size.txt,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x8_1/cpp_generic/EL_C_vsCpp_Appli_3_16x8_1_cpp_generic.elf
16x8,3,rltools_generic,static_state/model_object,10,2,5530348,5471011,5562108,0.854624269461993,combined_all_log,0,0,3548,3756,3548,47212,92,32620,79924,78984,0.9557858935946231,0.9595639437160832,0.9863136863136863,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x8_1/rltools_generic,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x8_1/rltools_generic/serial.log,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x8_1/rltools_generic/EL_C_vsCpp_Appli_3_16x8_1_rltools_generic.size.txt,${EL_CVSCPP_PROJECT_ROOT}/STM32CubeIDE/Appli/EL_C_vsCpp_Ablation_DEBUG/3_16x8_1/rltools_generic/EL_C_vsCpp_Appli_3_16x8_1_rltools_generic.elf
